CLASS;KSCHL
4150303;Objímky, patice
4150304;Piktogramy, zdroje
4150305;Závěsy, rámy, skla
4150306;Lišty, lištové prvky
41504;Stožáry, výložníky
4150401;Stožáry do 6m
4150402;Stožáry nad 6m
4150403;Výložníky
41505;Sváteční osvětlení
4150501;Vánoční řetězy
4150502;Vánoční dekorace
416;Svorky a svorkovnice
41601;Svorky a svorkovnice
4160101;Svorky krabicové
4160102;Věněčky, přístrojové
4160103;Pólové můstky
4160104;Svorky řadové a stož
4160105;Svorkovnice rozbočné
4160106;Svorky propichovací
4160107;Svorky ostatní
4160108;Konektory průmyslové
417;Topná technika
41701;Ohřev vzduchu
4170101;Topné kabely
4170102;Akumulační kamna
4170103;Přímotopy,konvektory
4170104;Sálavé panely
4170105;Infrazářiče,osoušeče
4170106;Topné rohože
4170107;Topné folie
41702;Ohřev vody
4170201;Bojlery, průtokové
4170202;Elektrokotle
4170203;Tepelná čerpadla
41703;Termostaty a čidla
4170301;Termostaty a čidla
41704;Příslušenství
4170401;Topná tělesa
4170402;Ostat. příslušenství
418;Transformátory, zdroje a měření
41801;Transformátory a napájecí zdroje
4180101;Měřící, proudové
4180102;Oddělovací a ostatní
4180103;Napájecí
41802;Měřící přístroje
4180201;Elektroměry na kříž
4180202;Měřáky panelové
419;Úložný materiál
41901;Krabice
4190101;Krabice Do zdi
4190102;Krabice Na povrch
4190103;Krabice Do SDK
4190104;Krabice Do betonu
4190105;Krabice Do zateplení
41902;Elektroinstalační lišty a kanály
4190201;Lišty plastové
4190202;Kanály plastové
4190203;Kanály kovové
4190205;Sloupky a ostatní
41903;Trubky a hadice
4190301;Trubky Ohebné plast
4190302;Trubky Tuhé plast
4190303;Trubky Kovové
4190304;Trubky Příslušenství
41904;Chráničky
4190401;Chráničky Pevné
4190402;Chráničky Ohebné
41905;Vývodky a záslepky
4190501;Vývodky a záslepky
41906;Žlaby
4190601;Žlaby Plechové
4190602;Žlaby Drátěné
4190603;Žlaby Žebříky
4190604;Žlaby Příslušenství
41907;Do rozvaděčů
4190701;Vylamovací žlaby
4190702;Vyplétací spirály
4190703;DIN lišty
41908;Upevňovací materiál
4190801;Stahovací pásky
4190802;Hmoždinky, šrouby
4190803;Příchytky, závěsy
4190804;Svorky SONAP, lanové
41909;Podlahové, nábytkové systémy
4190901;Podlahové krabice
4190902;Podlahové lišty
4190903;Podlahové kanály
41910;Ostatní
4191001;Ostatní
420;Ventilátory
42001;Ventilátory Bytové
4200101;Ventilátory bytové
4200102;Příslušenství
42002;Ventilátory Průmyslové
4200201;Ventilátory průmysl.
4200202;Příslušenství
42003;Rekuperace
4200301;Rekuperace
421;Vidlice, spojky a prodlužovací přívody
42101;Vidlice Spojky Přívodky 400V a jiné
4210101;Vidlice 400V
4210102;Spojky 400V
4210105;Zásuvky 400V
4210106;Přívodky 400V
4210107;Adaptéry, ost. 400V
42102;Vidlice Spojky Prodlužovací přívody 230V
4210201;Vidlice 230V
4210202;Prodluž přívody 230V
4210203;Prodlužovací bubny
4210204;Zásuvkové adaptéry
4210205;Zásuvky, spojky 230V
4210206;Flexo šňůry
42103;Zásuvkové skříně
4210301;Zásuvkové skříně
42104;Přísluš., ostatní
4210401;Přísluš., ostatní
422;Vačkové a hlavní spínače
42201;Vačkové a hlavní spínače
4220101;Vačkové a hl.spínače
4220102;Příslušenství
423;Výkonové jističe a stykače
42301;Výkonové jističe
4230101;Výkonové  jističe
4230102;Příslušenství
42302;Výkonové stykače a ministykače
4230201;Výkonové stykače
4230202;Příslušenství
424;Ostatní
42401;Různý sortiment
4240101;Různý, ost.sortiment
425;Elektronika
42501;Bílá technika
4250101;Velké spotřebiče
4250102;Malé spotřebiče
42502;Černá technika
4250201;Počítače, příslušens
4250202;Audio - video
4250203;Mobilní telefony
426;Elektromobilita
42601;Nabíjecí stanice
4260101;Nabíjecí Wallboxy
4260102;Stojanové stanice AC
4260103;Stojanové stanice DC
42602;Příslušenství
4260201;Příslušenství
427;Fotovoltaika
42701;Solární měniče
4270101;Solární měniče
4270102;-
42702;Solární kabely
4270201;Solární kabely
42703;Solární regulátory
4270301;Solární regulátory
42704;Solární panely
4270401;Solární panely
42705;Solární akumulátory
4270501;Solární akumulátory
42706;Konstrukce pro FVE
4270601;Hliníkové profily
4270602;Střešní háky
4270603;Spojovací materiál
42707;Solární sestavy
4270701;Solární sestavy
42708;Rozvaděče pro FVE
4270801;Rozvaděče pro FVE
42709;Solární konektory
4270901;Solární konektory
42710;Příslušenství
4271001;Příslušenství
490;Obaly
49001;Kabelové bubny
4900101;OBALY kabelové bubny
49002;Obaly
4900201;Obaly
909;Nezařazené artikly
999;Nezařazeno
999111;Nezařazeno, zkontrol
